start	end	text
420	7160	Vážené dámy, vážení pánové, zahajují dnešní 25. řádné zaseň zastupitelstva města Zína,
7300	9080	na kterém vás všechny srdečně vítám.
9820	14580	Vhle prezence je přítomen dostatečný počet členů, aby se zastupitelstvo mohlo usnášet.
15200	19580	O mluvení z dnešního zastupitelstva jsou pan David Vychytil, pan Josef Kocháň,
19660	24360	pan Pavel Sekula, paní Zuzana Fischerová, pan Lubomír Traub, pan Stanislav Skála,
24480	26920	pan Tomáš Dudák a paní Kateřina Pešatová.
27680	31120	Dřívější odchod nahlásil pan Česmír Vančura, pan Jaroslav Juráš,
31200	33900	pan Petr Sáha a pan Ondřej Slováček.
34900	38400	K distanční účastí se nepřilásil žádný z členů zastupitelstva.
38400	44900	K ověření zápisu z dnešního zastupitelstva pak určuji tyto členy zastupitelstva,
45040	48560	a to pana Hinka Stesku a pana Martina Pášmu.
48560	61620	Zápis z 24. zasedání zastupitelstva ze dne 5. února 2026 byl bez připomínek ověřen a podepsán.
62840	68560	Vážení členové zastupitelstva, nyní prosím proveďme volbu návrhové komise.
69080	73820	Do návrhové komise návrhuji tytočné zastupitelstva, to jako předsedu pana Jiřího Jaroše
73820	77920	a jako členky paní Danu Mědělkovou a paní Moniku Špalkovou.
78560	80460	Má někdo k tomuto návrhu připomínky?
82420	85240	Nikdo se nehlásí, takže prosím, pojďme hlasovat.
86600	89120	Složení návrhové komise, tak jak jsem ji přednesl.
99680	106500	Pro 30 návrhová komise byla schválená.
106500	114800	A technická připomínka vzhledem k tomu, že zjednání zastupitelstva města Zdína je pořizován
114800	119220	na audiovizuální záznam, který je online přenášen, žádám všechny diskutující s ohledem
119220	125260	na příslušná zákona o ustanovení o ochranně osobních údajů, aby ve svých projevech neuváděli
125260	131900	po případě minimalizovali používání osobních údajů a pouze případně uvedli odkaz na tento údaj v materiálech.
131900	138560	Jako dalším bodem dnešního zasedání zastupitelstva města Zlína je vystoupení občanů
138560	140480	a tímto předávám slovo panu tajemníkovi.
142200	145060	Děkuji, pane primátore. Dobré ráno, dámy a pánové.
146220	150880	Dle jednocího řádu zastupitelstva města Zlína od stavce 2 článku 7 vystoupení občanů
150880	155240	vzdělují, že máme celkem 3 přihlášky k vodu čísla 2 vystoupení občanů.
155860	159740	Delka vyjádření stanoviska občana je maximálně 4 minuty.
159740	165960	Prvním vystupujícím poprosím pane Matěje Santo ve věci Kozlova Žlebu na Jižních svazích.
174100	177480	Poprosím, jestli není pan Santo někde.
179880	181700	Tak, jestli není přítomen.
182400	186020	Další přihláškou máme pan Petr Šaur,
186020	190160	petice obyvatel věžových domů k rozšíření parkovacích míst.
190540	191800	Prosím, máte čtyři minuty.
192500	199560	Děkuji. Vážený pane primátore, vážené zastupitelky a vážení zastupitelé.
200300	205680	Vystupují jménem obyvatel lokality kolem věžových domů ve Zlině,
205680	212680	konkrétně domu 861 a zastupují zde obyvatele, kteří podepsali petici
212680	217440	kvůli dlouhodobému nedostatku parkovacích míst.
218800	223300	Chtěl bych upozornit, že problém se netýká pouze našeho domu,
223860	227500	ale celé této skupiny pěti věžových domů.
229260	233180	Odpověď města na petici nás bohužel zklamala.
235180	239680	Neobsahuje žádné konkrétní řešení situace, pouze vysvětlení,
239680	248680	proč je problém obtížně řešitelný. Přitom samotné město ve své odpovědi uvádí,
249500	255680	že se problematikou parkování dlouhodobě zabývá. Pokud tomu tak je, pak je otázka,
257380	264680	proč se situace dlouhodobě nezlepšuje. V dopise města se uvádí,
264680	269860	že parkování by si měl každý majitel vozidla zajistit sám.
270940	275100	U obyvatel bytových domů je to však prakticky nemožné.
276060	279060	Nemají vlastní pozemky ani garáže.
280340	285880	Ano, v okolí nějaké garáže existují, ale prakticky se neprodávají
285880	291740	a pokud výjimečně ano, jejich cena se pohybuje kolem 900 tisíc korun,
291740	295300	což je pro mnoho obyvatel zcela nedostupné.
296540	301000	Obyvatele jsou navíc velmi znepokojeni tím,
301980	305820	že město chce situaci řešit především restriktivně,
307160	309960	například zaváděním rezidentních modrých zón
309960	313460	nebo ubíráním míst pro jiné účely,
314200	318800	místo toho, aby se současně hledali možnosti,
318800	323240	jak parkovací kapacity, také rozšířit.
324480	330220	Regulace sama o sobě nové místo nevytvoří.
332180	336160	Stačí se večer projít kolem uvedených domů a každý vidí,
336580	342280	že všechna parkovací místa jsou obsazená a obyvatele zde nemají, kde parkovat.
343420	348640	Domy v této lokalitě byly postaveny v době, kdy byla motorizace výrazně nižší.
348800	352020	Dnes má automobil téměř každá domácnost.
353240	360260	Jednou z možností, kterou jsme identifikovali a městem nechali prošetřit
360260	366780	i na základě žádosti podle zákona 106 1999 sbírky,
367720	372240	na níž jsme ani po měsíci nedostali žádnou odpověď,
372240	377700	je využití areálu bývalé benzinové stanice
377700	387540	u věžového domu 861, který je zároveň i místem možného velmi
387540	394460	velkého ohrožení obyvatel. Ty nádrže jsou v zemi přes 50 let
394460	403420	a prakticky jsou v bůhli jakém stavu. Naším návrhem je asanace
403420	410360	těchto nádrží pohonných hmot jako potencionálního místa pro nové parkovací kapacity.
411800	419760	Dalším případným místem na rozšíření stávajícího parkoviště jsou místa bývalých klepačů na koberce,
420200	429680	které nejsou dodnes zatravněny a nevyužívají se. Čili tam odbor zeleně prakticky nemá dosah,
